"","Forma_i_poziom","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","...5","X1","X2","X3","X4","X5"
"2140","Chemia (stacjonarne II stopnia)","Przedmiot fakultatywny do wyboru","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2141","Chemia (stacjonarne II stopnia)","Przedmiot fakultatywny do wyboru","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2142","Chemia (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2143","Chemia (stacjonarne II stopnia)","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa",NA,NA,NA,NA,NA
"2144","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii nieorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2145","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2146","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii ogólnej i analitycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2147","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2148","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2149","Chemia (stacjonarne II stopnia)","Wyk³ad monograficzny do wyboru","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"2150","Chemia (stacjonarne II stopnia)","Wyk³ad monograficzny do wyboru","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2151","Chemia (stacjonarne II stopnia)","Suma","240","","29","",NA,NA,NA,NA,NA
"2152","Chemia (stacjonarne II stopnia)","CHEMIA BADAWCZA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2153","Chemia (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"2154","Chemia (stacjonarne II stopnia)","Umiejêtnoœæ pisania publikacji naukowych","Wyk³ad:
                    15                    
                                Æwiczenia:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","O",NA,NA,NA,NA,NA
"2155","Chemia (stacjonarne II stopnia)","Pracownia magisterska","Laboratorium:
                    150","Zaliczenie z ocen¹","17","G",NA,NA,NA,NA,NA
"2156","Chemia (stacjonarne II stopnia)","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium",NA,NA,NA,NA,NA
"2157","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii nieorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2158","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2159","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii ogólnej i analitycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2160","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2161","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2162","Chemia (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2163","Chemia (stacjonarne II stopnia)","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa",NA,NA,NA,NA,NA
"2164","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii nieorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2165","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2166","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii ogólnej i analitycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2167","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2168","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratoium dydaktyczne technologii chemicznej i badania materia³ów","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2169","Chemia (stacjonarne II stopnia)","Wyk³ad monograficzny do wyboru","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"2170","Chemia (stacjonarne II stopnia)","Wyk³ad monograficzny do wyboru","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2171","Chemia (stacjonarne II stopnia)","Suma","240","","29","",NA,NA,NA,NA,NA
"2172","Chemia (stacjonarne II stopnia)","CHEMIA BIOLOGICZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2173","Chemia (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"2174","Chemia (stacjonarne II stopnia)","Fotochemia i fotobiologia II","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Egzamin                    
                                                    Zaliczenie z ocen¹","4","O",NA,NA,NA,NA,NA
"2175","Chemia (stacjonarne II stopnia)","Pracownia magisterska","Laboratorium:
                    150","Zaliczenie z ocen¹","17","G",NA,NA,NA,NA,NA
"2176","Chemia (stacjonarne II stopnia)","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium",NA,NA,NA,NA,NA
"2177","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii nieorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2178","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2179","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii ogólnej i analitycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2180","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2181","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2182","Chemia (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2183","Chemia (stacjonarne II stopnia)","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa",NA,NA,NA,NA,NA
"2184","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii nieorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2185","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2186","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii ogólnej i analitycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2187","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2188","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2189","Chemia (stacjonarne II stopnia)","Suma","225","","26","",NA,NA,NA,NA,NA
"2190","Chemia (stacjonarne II stopnia)","CHEMIA KOSMETYCZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2191","Chemia (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"2192","Chemia (stacjonarne II stopnia)","Pracownia magisterska","Laboratorium:
                    150","Zaliczenie z ocen¹","17","G",NA,NA,NA,NA,NA
"2193","Chemia (stacjonarne II stopnia)","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium",NA,NA,NA,NA,NA
"2194","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii nieorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2195","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2196","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii ogólnej i analitycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2197","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2198","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2199","Chemia (stacjonarne II stopnia)","Przedmiot fakultatywny do wyboru","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2200","Chemia (stacjonarne II stopnia)","Przedmiot fakultatywny do wyboru","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2201","Chemia (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2202","Chemia (stacjonarne II stopnia)","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa",NA,NA,NA,NA,NA
"2203","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii nieorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2204","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2205","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii ogólnej i analitycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2206","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2207","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2208","Chemia (stacjonarne II stopnia)","Suma","225","","27","",NA,NA,NA,NA,NA
"2209","Chemia (stacjonarne II stopnia)","CHEMIA OGÓLNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2210","Chemia (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"2211","Chemia (stacjonarne II stopnia)","Pracownia magisterska","Laboratorium:
                    150","Zaliczenie z ocen¹","17","G",NA,NA,NA,NA,NA
"2212","Chemia (stacjonarne II stopnia)","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium",NA,NA,NA,NA,NA
"2213","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii nieorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2214","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2215","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii ogólnej i analitycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2216","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2217","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2218","Chemia (stacjonarne II stopnia)","Przedmiot fakultatywny do wyboru","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2219","Chemia (stacjonarne II stopnia)","Przedmiot fakultatywny do wyboru","Wyk³ad:
                    15                    
                                Laboratorium:
                    30","Zaliczenie z ocen¹                    
                                                    Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2220","Chemia (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2221","Chemia (stacjonarne II stopnia)","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa",NA,NA,NA,NA,NA
"2222","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii nieorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2223","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2224","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii ogólnej i analitycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2225","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2226","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2227","Chemia (stacjonarne II stopnia)","Suma","225","","27","",NA,NA,NA,NA,NA
"2228","Chemia (stacjonarne II stopnia)","CHEMIA S¥DOWA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2229","Chemia (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"2230","Chemia (stacjonarne II stopnia)","Pracownia magisterska","Laboratorium:
                    150","Zaliczenie z ocen¹","17","G",NA,NA,NA,NA,NA
"2231","Chemia (stacjonarne II stopnia)","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium","Zgodnie z wyborem seminarium",NA,NA,NA,NA,NA
"2232","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii nieorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2233","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2234","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii ogólnej i analitycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2235","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2236","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Laboratorium:
                    150","Zaliczenie z ocen¹","17","F",NA,NA,NA,NA,NA
"2237","Chemia (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2238","Chemia (stacjonarne II stopnia)","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa","Student wybiera 1 laboratorium dydaktyczne, w którym realizowana bêdzie praca dyplomowa",NA,NA,NA,NA,NA
"2239","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii nieorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2240","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2241","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii ogólnej i analitycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2242","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2243","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2244","Chemia (stacjonarne II stopnia)","Wyniki analiz paliw w porównaniu z wymaganiami obowi¹zuj¹cych norm","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","O",NA,NA,NA,NA,NA
"2245","Chemia (stacjonarne II stopnia)","Wyk³ad monograficzny do wyboru","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"2246","Chemia (stacjonarne II stopnia)","Wyk³ad monograficzny do wyboru","Wyk³ad:
                    15","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2247","Chemia (stacjonarne II stopnia)","Suma","210","","26","",NA,NA,NA,NA,NA
"2248","Chemia (stacjonarne II stopnia)","ANALITYKA CHEMICZNA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2249","Chemia (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"2250","Chemia (stacjonarne II stopnia)","Pracownia badawcza","Laboratorium:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
"2251","Chemia (stacjonarne II stopnia)","Do wyboru jedna pracownia badawcza","Do wyboru jedna pracownia badawcza","Do wyboru jedna pracownia badawcza","Do wyboru jedna pracownia badawcza","Do wyboru jedna pracownia badawcza",NA,NA,NA,NA,NA
"2252","Chemia (stacjonarne II stopnia)","Pracownia badawcza - laboratorium dydaktyczne chemii nieorganicznej","Laboratorium:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2253","Chemia (stacjonarne II stopnia)","Pracownia badawcza - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Laboratorium:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2254","Chemia (stacjonarne II stopnia)","Pracownia badawcza - laboratorium dydaktyczne chemii ogólnej i analitycznej","Laboratorium:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2255","Chemia (stacjonarne II stopnia)","Pracownia badawcza - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Laboratorium:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2256","Chemia (stacjonarne II stopnia)","Pracownia badawcza - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Laboratorium:
                    30","Zaliczenie z ocen¹","2","F",NA,NA,NA,NA,NA
"2257","Chemia (stacjonarne II stopnia)","Pracownia magisterska","Laboratorium:
                    150","Zaliczenie z ocen¹","18","G",NA,NA,NA,NA,NA
"2258","Chemia (stacjonarne II stopnia)","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.",NA,NA,NA,NA,NA
"2259","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii nieorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","18","F",NA,NA,NA,NA,NA
"2260","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Laboratorium:
                    150","Zaliczenie z ocen¹","18","F",NA,NA,NA,NA,NA
"2261","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii ogólnej i analitycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","18","F",NA,NA,NA,NA,NA
"2262","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Laboratorium:
                    150","Zaliczenie z ocen¹","18","F",NA,NA,NA,NA,NA
"2263","Chemia (stacjonarne II stopnia)","Pracownia magisterska - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Laboratorium:
                    150","Zaliczenie z ocen¹","18","F",NA,NA,NA,NA,NA
"2264","Chemia (stacjonarne II stopnia)","Seminarium magisterskie","Seminarium:
                    30","Zaliczenie z ocen¹","5","G",NA,NA,NA,NA,NA
"2265","Chemia (stacjonarne II stopnia)","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.","Zgodnie z wyborem z semestru 3.",NA,NA,NA,NA,NA
"2266","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii nieorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2267","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii organicznej i bioorganicznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2268","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii ogólnej i analitycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2269","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne chemii fizycznej i teoretycznej","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2270","Chemia (stacjonarne II stopnia)","Seminarium magisterskie - laboratorium dydaktyczne technologii chemicznej i badania materia³ów","Seminarium:
                    30","Zaliczenie z ocen¹","5","F",NA,NA,NA,NA,NA
"2271","Chemia (stacjonarne II stopnia)","Suma","210","","25","",NA,NA,NA,NA,NA
"2272","Chemia (stacjonarne II stopnia)","CHEMIA BADAWCZA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2273","Chemia (stacjonarne II stopnia)","Zajêcia","Forma zajêæ / liczba godzin","Forma zaliczenia","Punkty ECTS","",NA,NA,NA,NA,NA
"2274","Chemia (stacjonarne II stopnia)","Pracownia badawcza","Laboratorium:
                    30","Zaliczenie z ocen¹","2","G",NA,NA,NA,NA,NA
